learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),Unlabeled instances,classified instances,classifications correct (percent)- first measurement,classifications correct (percent)- last measurement,model training instances,model serialized size (bytes)
1000.0,0.0625,0.0,986.0,14.0,58.333333333333336,57.14285714285714,1000.0,0.0
2000.0,0.21875,0.0,1973.0,27.0,52.0,51.85185185185185,2000.0,0.0
3000.0,0.375,0.0,2964.0,36.0,54.54545454545454,44.44444444444444,3000.0,0.0
4000.0,0.484375,0.0,3954.0,46.0,50.0,41.30434782608695,4000.0,0.0
5000.0,0.65625,0.0,4933.0,67.0,51.66666666666667,43.28358208955223,5000.0,0.0
6000.0,0.9375,0.0,5921.0,79.0,54.166666666666664,46.835443037974684,6000.0,0.0
7000.0,1.328125,0.0,6906.0,94.0,56.97674418604651,50.0,7000.0,0.0
8000.0,1.640625,0.0,7902.0,98.0,56.666666666666664,50.0,8000.0,0.0
9000.0,1.9375,0.0,8902.0,98.0,56.666666666666664,50.0,9000.0,0.0
10000.0,2.5,0.0,9873.0,127.0,56.03448275862068,51.181102362204726,10000.0,0.0
11000.0,3.09375,0.0,10847.0,153.0,54.929577464788736,50.98039215686274,11000.0,0.0
12000.0,3.765625,0.0,11822.0,178.0,52.69461077844312,49.43820224719101,12000.0,0.0
13000.0,4.515625,0.0,12785.0,215.0,53.960396039603964,51.162790697674424,13000.0,0.0
14000.0,5.40625,0.0,13747.0,253.0,53.75,51.38339920948617,14000.0,0.0
15000.0,6.421875,0.0,14699.0,301.0,56.09756097560976,54.15282392026578,15000.0,0.0
16000.0,7.40625,0.0,15661.0,339.0,56.00000000000001,54.27728613569322,16000.0,0.0
17000.0,8.453125,0.0,16632.0,368.0,55.524079320113316,54.07608695652174,17000.0,0.0
18000.0,9.609375,0.0,17597.0,403.0,55.69948186528497,54.3424317617866,18000.0,0.0
19000.0,10.921875,0.0,18562.0,438.0,55.714285714285715,54.5662100456621,19000.0,0.0
20000.0,12.296875,0.0,19528.0,472.0,55.72687224669603,54.66101694915254,20000.0,0.0
21000.0,13.84375,0.0,20482.0,518.0,55.71142284569138,54.633204633204635,21000.0,0.0
22000.0,15.515625,0.0,21442.0,558.0,57.72811918063314,56.63082437275986,22000.0,0.0
23000.0,17.28125,0.0,22397.0,603.0,56.79862306368331,55.72139303482587,23000.0,0.0
24000.0,19.09375,0.0,23349.0,651.0,56.75675675675676,55.76036866359447,24000.0,0.0
25000.0,21.0,0.0,24300.0,700.0,57.163958641063516,56.285714285714285,25000.0,0.0
26000.0,23.015625,0.0,25251.0,749.0,57.931034482758626,57.14285714285714,26000.0,0.0
27000.0,25.171875,0.0,26193.0,807.0,58.38668373879642,57.74473358116481,27000.0,0.0
28000.0,27.484375,0.0,27135.0,865.0,58.65384615384615,58.38150289017341,28000.0,0.0
29000.0,29.765625,0.0,28094.0,906.0,58.830275229357795,58.609271523178805,29000.0,0.0
30000.0,32.34375,0.0,29042.0,958.0,58.80434782608695,58.55949895615866,30000.0,0.0
31000.0,35.09375,0.0,29992.0,1008.0,58.63495346432265,58.5,31000.0,0.0
32000.0,37.953125,0.0,30944.0,1056.0,58.9,59.699999999999996,32000.0,0.0
33000.0,40.828125,0.0,31896.0,1104.0,59.599999999999994,60.099999999999994,33000.0,0.0
34000.0,43.84375,0.0,32845.0,1155.0,59.699999999999996,60.699999999999996,34000.0,0.0
35000.0,47.0,0.0,33796.0,1204.0,59.699999999999996,61.0,35000.0,0.0
36000.0,50.21875,0.0,34742.0,1258.0,60.4,61.6,36000.0,0.0
37000.0,53.453125,0.0,35693.0,1307.0,61.4,62.2,37000.0,0.0
38000.0,56.890625,0.0,36630.0,1370.0,61.3,62.6,38000.0,0.0
39000.0,60.453125,0.0,37570.0,1430.0,61.7,62.9,39000.0,0.0
40000.0,64.09375,0.0,38517.0,1483.0,62.0,63.6,40000.0,0.0
41000.0,67.9375,0.0,39467.0,1533.0,62.3,63.6,41000.0,0.0
42000.0,71.796875,0.0,40411.0,1589.0,62.1,63.0,42000.0,0.0
43000.0,75.765625,0.0,41370.0,1630.0,61.199999999999996,63.6,43000.0,0.0
44000.0,79.734375,0.0,42316.0,1684.0,62.1,64.0,44000.0,0.0
45000.0,83.84375,0.0,43269.0,1731.0,62.3,63.6,45000.0,0.0
46000.0,88.0625,0.0,44230.0,1770.0,62.4,63.7,46000.0,0.0
47000.0,92.53125,0.0,45175.0,1825.0,61.9,63.3,47000.0,0.0
48000.0,96.96875,0.0,46128.0,1872.0,61.199999999999996,62.3,48000.0,0.0
49000.0,102.140625,0.0,47078.0,1922.0,61.4,62.3,49000.0,0.0
50000.0,107.46875,0.0,48026.0,1974.0,61.7,63.4,50000.0,0.0
51000.0,112.796875,0.0,48970.0,2030.0,61.199999999999996,62.7,51000.0,0.0
52000.0,118.25,0.0,49922.0,2078.0,61.6,62.2,52000.0,0.0
53000.0,123.765625,0.0,50873.0,2127.0,61.199999999999996,62.1,53000.0,0.0
54000.0,129.421875,0.0,51836.0,2164.0,61.0,61.9,54000.0,0.0
55000.0,135.234375,0.0,52784.0,2216.0,60.3,61.7,55000.0,0.0
56000.0,140.9375,0.0,53732.0,2268.0,61.1,61.9,56000.0,0.0
57000.0,146.609375,0.0,54675.0,2325.0,60.6,60.6,57000.0,0.0
