learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
1000.0,1.34375,2.2882893164124754E-7,1000.0,52.300000000000004,46.89112680996041,47.0,45.29816513761468,1000.0,658672.0
2000.0,2.609375,5.349150807079342E-7,2000.0,60.6,56.16221316290745,56.367663344407525,55.17633674630261,2000.0,934848.0
3000.0,3.6875,9.02188249811944E-7,3000.0,71.7,68.497450853797,68.79823594266813,67.76765375854214,3000.0,1316808.0
4000.0,4.71875,1.3186547504220572E-6,4000.0,71.8,68.65635809110552,68.56187290969899,68.02721088435374,4000.0,1561056.0
5000.0,5.828125,1.851004975227018E-6,5000.0,73.4,70.41732699418912,70.73707370737074,69.84126984126983,5000.0,1854904.0
6000.0,6.703125,2.2889632964506743E-6,6000.0,70.39999999999999,67.08704808626752,67.14761376248613,66.40181611804768,6000.0,1934760.0
7000.0,8.0,3.0307270935736594E-6,7000.0,72.1,68.95042417726971,69.73969631236442,68.36734693877551,7000.0,2210904.0
8000.0,8.921875,3.603554602401952E-6,8000.0,73.8,70.86597011871561,71.33479212253829,70.3954802259887,8000.0,2401896.0
9000.0,9.734375,4.139609001059499E-6,9000.0,74.0,71.09138901428308,71.17516629711751,71.01449275362319,9000.0,2550280.0
10000.0,10.6875,4.8058818598898746E-6,10000.0,74.0,71.05492550539769,70.917225950783,70.75365579302587,10000.0,2702120.0
11000.0,11.59375,5.471288944439341E-6,11000.0,75.5,72.76570390650966,72.89823008849558,72.44094488188976,11000.0,2838192.0
12000.0,12.5625,6.222207610133207E-6,12000.0,73.5,70.51817915824395,70.84708470847085,70.02262443438913,12000.0,2996288.0
13000.0,13.40625,6.911900288994527E-6,13000.0,73.7,70.7575029798438,70.64732142857143,70.4161979752531,13000.0,3159688.0
14000.0,14.28125,7.656026508710863E-6,14000.0,71.89999999999999,68.77062972191412,68.74304783092325,68.1044267877412,14000.0,3287312.0
15000.0,15.296875,8.564284621065274E-6,15000.0,72.5,69.41280368914956,69.3422519509476,68.96162528216703,15000.0,3456832.0
16000.0,16.234375,9.425922924290513E-6,16000.0,74.8,71.96573589943263,72.06208425720621,71.2,16000.0,3552680.0
17000.0,17.15625,1.0309164839175838E-5,17000.0,73.7,70.74296190244168,71.25683060109289,70.24886877828054,17000.0,3703480.0
18000.0,18.09375,1.1239455197937785E-5,18000.0,71.89999999999999,68.77035206149017,68.70824053452115,68.24858757062147,18000.0,3835744.0
19000.0,19.109375,1.2278014878069773E-5,19000.0,76.4,73.76372679590627,73.69007803790413,73.4533183352081,19000.0,3952760.0
20000.0,20.03125,1.3242072374042536E-5,20000.0,73.3,70.33082793658131,70.06726457399103,70.33333333333334,20000.0,4042344.0
21000.0,21.015625,1.4295376669098105E-5,21000.0,74.9,72.09843139826877,72.59825327510917,71.24856815578465,21000.0,4136144.0
22000.0,21.890625,1.5259741533858078E-5,22000.0,75.8,73.09442965749876,73.31863285556781,72.59343148357871,22000.0,4260256.0
23000.0,22.8125,1.6310613104400946E-5,23000.0,74.1,71.20840225530478,71.5071507150715,70.96412556053812,23000.0,4406360.0
24000.0,23.8125,1.748152565495628E-5,24000.0,71.2,67.98128684097594,67.78523489932886,67.30987514188422,24000.0,4526128.0
25000.0,24.828125,1.871928440070607E-5,25000.0,69.3,65.86958624377564,65.85094549499443,65.23216308040769,25000.0,4710912.0
26000.0,25.84375,1.9882363202567726E-5,26000.0,72.7,69.6609359545692,69.32584269662921,69.11764705882352,26000.0,4426680.0
27000.0,26.859375,2.1092662160905694E-5,27000.0,72.6,69.53893735360069,69.85698569856986,68.36027713625866,27000.0,4606400.0
28000.0,27.859375,2.2327974632692828E-5,28000.0,75.4,72.63951898939726,72.48322147651007,72.32845894263217,28000.0,4775064.0
29000.0,28.78125,2.3505804775696654E-5,29000.0,74.1,71.20872231201741,71.22222222222221,70.56818181818181,29000.0,4938704.0
30000.0,29.75,2.4773546416933332E-5,30000.0,74.3,71.43974786964968,71.60220994475138,71.05855855855856,30000.0,5058496.0
31000.0,30.734375,2.610873731706912E-5,31000.0,72.89999999999999,69.85133705426425,69.92230854605992,69.16951080773606,31000.0,5243064.0
32000.0,31.765625,2.75369169927823E-5,32000.0,72.1,68.96679447008299,68.8268156424581,68.47457627118644,32000.0,5353296.0
33000.0,32.796875,2.9007568858408677E-5,33000.0,74.8,71.9875500222321,71.81208053691275,71.42857142857143,33000.0,5512496.0
34000.0,33.875,3.058254311326891E-5,34000.0,73.8,70.87746638403729,70.59483726150393,70.1254275940707,34000.0,5646856.0
35000.0,34.90625,3.212296035295973E-5,35000.0,72.0,68.88964936412665,68.39729119638825,68.36158192090394,35000.0,5774000.0
36000.0,36.03125,3.383608166283617E-5,36000.0,72.8,69.76756593338193,69.23076923076923,69.71046770601336,36000.0,5886240.0
37000.0,37.109375,3.5522995458450164E-5,37000.0,73.5,70.53643697688278,69.98867497168743,69.47004608294931,37000.0,6048200.0
38000.0,38.171875,3.7213548494037235E-5,38000.0,72.6,69.54641948139998,69.95614035087719,68.7214611872146,38000.0,6150384.0
39000.0,39.25,3.895105910487472E-5,39000.0,75.0,72.21237305222628,71.81510710259302,71.65532879818595,39000.0,6229608.0
40000.0,40.359375,4.0760971347077014E-5,40000.0,74.1,71.20436893095942,71.41280353200882,70.86614173228347,40000.0,6306400.0
41000.0,41.46875,4.259906890284683E-5,41000.0,74.5,71.66191216526329,71.21896162528216,71.28378378378379,41000.0,6404608.0
42000.0,42.53125,4.4386197890465446E-5,42000.0,77.9,75.42765334089407,75.71428571428572,75.22421524663677,42000.0,6501736.0
43000.0,43.5625,4.61385556263849E-5,43000.0,74.8,71.97783135102436,72.18543046357617,71.74887892376681,43000.0,6568424.0
44000.0,44.578125,4.789192737209506E-5,44000.0,74.2,71.31507059494545,71.20535714285714,71.04377104377105,44000.0,6673336.0
45000.0,45.671875,4.981668623966267E-5,45000.0,73.3,70.31839359144102,70.26726057906458,69.79638009049773,45000.0,6802376.0
46000.0,46.734375,5.171531329526461E-5,46000.0,74.3,71.42259860871421,71.18834080717488,70.76222980659841,46000.0,6907376.0
47000.0,47.78125,5.361022482652009E-5,47000.0,73.4,70.42087974530821,70.70484581497797,70.11235955056179,47000.0,6996752.0
48000.0,48.96875,5.579865760713193E-5,48000.0,73.1,70.10363702036621,69.97767857142857,68.82966396292004,48000.0,7123640.0
49000.0,50.046875,5.781840009149162E-5,49000.0,73.9,70.9967774197133,71.22381477398015,70.80536912751678,49000.0,7241512.0
50000.0,51.078125,5.978530641489971E-5,50000.0,73.0,69.96789902095351,69.89966555183946,69.21322690992018,50000.0,7372624.0
