learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
1000.0,1.203125,2.0487922787045438E-7,1000.0,52.300000000000004,46.89112680996041,47.0,45.29816513761468,1000.0,658664.0
2000.0,2.3125,4.731700755655765E-7,2000.0,60.6,56.16221316290745,56.367663344407525,55.17633674630261,2000.0,934824.0
3000.0,3.46875,8.670500634859005E-7,3000.0,71.7,68.497450853797,68.79823594266813,67.76765375854214,3000.0,1316784.0
4000.0,4.671875,1.352920177547882E-6,4000.0,71.8,68.65635809110552,68.56187290969899,68.02721088435374,4000.0,1561032.0
5000.0,5.671875,1.8327830993156467E-6,5000.0,73.4,70.41732699418912,70.73707370737074,69.84126984126983,5000.0,1854896.0
6000.0,6.578125,2.2863771624138787E-6,6000.0,70.39999999999999,67.08704808626752,67.14761376248613,66.40181611804768,6000.0,1934736.0
7000.0,7.96875,3.0817538047105903E-6,7000.0,72.1,68.95042417726971,69.73969631236442,68.36734693877551,7000.0,2210880.0
8000.0,8.9375,3.6837021212300494E-6,8000.0,73.8,70.86597011871561,71.33479212253829,70.3954802259887,8000.0,2401872.0
9000.0,9.953125,4.353768017608673E-6,9000.0,74.0,71.09138901428308,71.17516629711751,71.01449275362319,9000.0,2550272.0
10000.0,10.890625,5.00911643030122E-6,10000.0,74.0,71.05492550539769,70.917225950783,70.75365579302587,10000.0,2700648.0
11000.0,11.796875,5.6748611192839845E-6,11000.0,75.5,72.76570390650966,72.89823008849558,72.44094488188976,11000.0,2839632.0
12000.0,12.78125,6.437889339091878E-6,12000.0,73.5,70.51817915824395,70.84708470847085,70.02262443438913,12000.0,2996280.0
13000.0,13.765625,7.2421559404271356E-6,13000.0,73.7,70.7575029798438,70.64732142857143,70.4161979752531,13000.0,3158216.0
14000.0,14.625,7.973314334069276E-6,14000.0,71.89999999999999,68.77062972191412,68.74304783092325,68.1044267877412,14000.0,3288752.0
15000.0,15.578125,8.82567372173071E-6,15000.0,72.5,69.41280368914956,69.3422519509476,68.96162528216703,15000.0,3456808.0
16000.0,16.484375,9.658241890267366E-6,16000.0,74.8,71.96573589943263,72.06208425720621,71.2,16000.0,3551192.0
17000.0,17.5,1.0631687570518504E-5,17000.0,73.7,70.74296190244168,71.25683060109289,70.24886877828054,17000.0,3704936.0
18000.0,18.484375,1.1608486335414152E-5,18000.0,71.89999999999999,68.77035206149017,68.70824053452115,68.24858757062147,18000.0,3835720.0
19000.0,19.515625,1.266262688053151E-5,19000.0,76.4,73.76372679590627,73.69007803790413,73.4533183352081,19000.0,3951272.0
20000.0,20.46875,1.3659719358353566E-5,20000.0,73.3,70.33082793658131,70.06726457399103,70.33333333333334,20000.0,4043784.0
21000.0,21.46875,1.4729736560386502E-5,21000.0,74.9,72.09843139826877,72.59825327510917,71.24856815578465,21000.0,4136120.0
22000.0,22.484375,1.5849082329724398E-5,22000.0,75.8,73.09442965749876,73.31863285556781,72.59343148357871,22000.0,4260232.0
23000.0,23.484375,1.6989387481266426E-5,23000.0,74.1,71.20840225530478,71.5071507150715,70.96412556053812,23000.0,4407816.0
24000.0,24.453125,1.8123707009686364E-5,24000.0,71.2,67.98128684097594,67.78523489932886,67.30987514188422,24000.0,4526120.0
25000.0,25.453125,1.9342417104376685E-5,25000.0,69.3,65.86958624377564,65.85094549499443,65.23216308040769,25000.0,4710888.0
26000.0,26.46875,2.0505489600408407E-5,26000.0,72.7,69.6609359545692,69.32584269662921,69.11764705882352,26000.0,4426656.0
27000.0,27.53125,2.177164191380143E-5,27000.0,72.6,69.53893735360069,69.85698569856986,68.36027713625866,27000.0,4606376.0
28000.0,28.515625,2.2987646516412494E-5,28000.0,75.4,72.63951898939726,72.48322147651007,72.32845894263217,28000.0,4775040.0
29000.0,29.515625,2.426528656441304E-5,29000.0,74.1,71.20872231201741,71.22222222222221,70.56818181818181,29000.0,4938680.0
30000.0,30.609375,2.5696605508629642E-5,30000.0,74.3,71.43974786964968,71.60220994475138,71.05855855855856,30000.0,5058488.0
31000.0,31.640625,2.709537052497681E-5,31000.0,72.89999999999999,69.85133705426425,69.92230854605992,69.16951080773606,31000.0,5243040.0
32000.0,32.65625,2.8501909012751028E-5,32000.0,72.1,68.96679447008299,68.8268156424581,68.47457627118644,32000.0,5353288.0
33000.0,33.71875,3.001711948955845E-5,33000.0,74.8,71.9875500222321,71.81208053691275,71.42857142857143,33000.0,5512472.0
34000.0,34.890625,3.172904075149239E-5,34000.0,73.8,70.87746638403729,70.59483726150393,70.1254275940707,34000.0,5646832.0
35000.0,35.890625,3.3222393734225374E-5,35000.0,72.0,68.88964936412665,68.39729119638825,68.36158192090394,35000.0,5772512.0
36000.0,36.953125,3.484033943904149E-5,36000.0,72.8,69.76756593338193,69.23076923076923,69.71046770601336,36000.0,5886232.0
37000.0,38.03125,3.652724654077448E-5,37000.0,73.5,70.53643697688278,69.98867497168743,69.47004608294931,37000.0,6048176.0
38000.0,39.0,3.806826021496413E-5,38000.0,72.6,69.54641948139998,69.95614035087719,68.7214611872146,38000.0,6148896.0
39000.0,40.046875,3.9755406032782044E-5,39000.0,75.0,72.21237305222628,71.81510710259302,71.65532879818595,39000.0,6229600.0
40000.0,41.046875,4.1386874153330504E-5,40000.0,74.1,71.20436893095942,71.41280353200882,70.86614173228347,40000.0,6306392.0
41000.0,42.078125,4.3095135511571745E-5,41000.0,74.5,71.66191216526329,71.21896162528216,71.28378378378379,41000.0,6403136.0
42000.0,43.140625,4.4882257902322126E-5,42000.0,77.9,75.42765334089407,75.71428571428572,75.22421524663677,42000.0,6501712.0
43000.0,44.25,4.6767363124268333E-5,43000.0,74.8,71.97783135102436,72.18543046357617,71.74887892376681,43000.0,6568400.0
44000.0,45.203125,4.841283309764953E-5,44000.0,74.2,71.31507059494545,71.20535714285714,71.04377104377105,44000.0,6673328.0
45000.0,46.265625,5.028259225784698E-5,45000.0,73.3,70.31839359144102,70.26726057906458,69.79638009049773,45000.0,6802352.0
46000.0,47.34375,5.22087252789384E-5,46000.0,74.3,71.42259860871421,71.18834080717488,70.76222980659841,46000.0,6905888.0
47000.0,48.375,5.407535241425245E-5,47000.0,73.4,70.42087974530821,70.70484581497797,70.11235955056179,47000.0,6996744.0
48000.0,49.484375,5.611980246612803E-5,48000.0,73.1,70.10363702036621,69.97767857142857,68.82966396292004,48000.0,7123616.0
49000.0,50.578125,5.8168814317064574E-5,49000.0,73.9,70.9967774197133,71.22381477398015,70.80536912751678,49000.0,7241504.0
50000.0,51.6875,6.028472639930746E-5,50000.0,73.0,69.96789902095351,69.89966555183946,69.21322690992018,50000.0,7372616.0
