learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
1000.0,1.390625,6.579039230321844E-7,1000.0,91.3,82.59540518696936,37.85714285714289,82.24489795918369,1000.0,1829168.0
2000.0,2.390625,1.3838181298019157E-6,2000.0,92.5,82.29645645872479,46.428571428571466,74.83221476510069,2000.0,2806000.0
3000.0,3.5,2.0863593413701486E-6,3000.0,93.4,86.26710889350352,64.5161290322581,83.94160583941607,3000.0,2447912.0
4000.0,4.359375,2.774757417177574E-6,4000.0,92.2,83.43970140507764,53.846153846153875,80.05115089514068,4000.0,3096416.0
5000.0,5.46875,3.759477791997293E-6,5000.0,91.7,81.38929996860847,48.125000000000036,76.5536723163842,5000.0,3431128.0
6000.0,6.234375,4.197983911985324E-6,6000.0,87.7,74.91454629999755,19.07894736842107,70.57416267942584,6000.0,2213920.0
7000.0,6.9375,4.5853427986407436E-6,7000.0,91.0,81.33345501155253,52.87958115183247,78.62232779097388,7000.0,2129528.0
8000.0,7.75,5.200465578430642E-6,8000.0,89.60000000000001,79.14368795748523,39.18128654970763,80.41431261770245,8000.0,2926448.0
9000.0,8.78125,6.313879372707256E-6,9000.0,92.4,84.71095661130424,55.81395348837213,83.9662447257384,9000.0,4173448.0
10000.0,9.671875,7.291675331847121E-6,10000.0,91.5,83.0,40.55944055944059,82.51028806584362,10000.0,4243808.0
11000.0,10.4375,8.05003549127529E-6,11000.0,93.4,86.76479435297894,63.128491620111774,86.77354709418839,11000.0,3828792.0
12000.0,11.375,8.510626891317465E-6,12000.0,89.9,79.46486662329212,26.81159420289857,77.50556792873051,12000.0,1899096.0
13000.0,12.328125,9.154122219317487E-6,13000.0,91.4,82.80103193808372,39.860139860139896,82.5910931174089,13000.0,2609744.0
14000.0,13.09375,9.866308828350154E-6,14000.0,94.1,88.2000943992448,39.79591836734687,87.3390557939914,14000.0,3595672.0
15000.0,13.953125,1.0419389937952573E-5,15000.0,90.10000000000001,79.50225682222867,31.72413793103451,78.0,15000.0,2487760.0
16000.0,14.84375,1.079440870348157E-5,16000.0,90.3,79.91452283532394,40.85365853658539,76.95961995249408,16000.0,1627648.0
17000.0,15.828125,1.165414196697788E-5,17000.0,88.7,75.43264631707105,29.375000000000018,68.61111111111111,17000.0,3376024.0
18000.0,16.734375,1.2705496564093563E-5,18000.0,91.4,82.31326094109906,38.12949640287773,79.22705314009663,18000.0,4484392.0
19000.0,17.546875,1.3818633613280123E-5,19000.0,91.5,80.76923076923079,36.56716417910451,76.05633802816902,19000.0,5295752.0
20000.0,18.59375,1.4534176702404187E-5,20000.0,90.7,81.42080869426243,25.00000000000002,81.90661478599223,20000.0,2642064.0
21000.0,19.5,1.5000286512076854E-5,21000.0,88.2,75.814914409392,35.51912568306013,73.42342342342342,21000.0,1988120.0
22000.0,20.3125,1.5651165869914822E-5,22000.0,88.3,70.01261008191429,37.43315508021393,57.299270072992705,22000.0,3096560.0
23000.0,21.25,1.595647475268278E-5,23000.0,85.5,69.70861779378463,3.9735099337748374,66.04215456674473,23000.0,1258840.0
24000.0,22.15625,1.6435801775919065E-5,24000.0,84.39999999999999,66.84124608896748,-5.405405405405409,60.606060606060595,24000.0,2044496.0
25000.0,23.046875,1.7018428641474906E-5,25000.0,86.8,71.26749526566684,-13.793103448275875,64.9867374005305,25000.0,2528704.0
26000.0,23.90625,1.7814118796700815E-5,26000.0,88.9,77.34268474897328,20.71428571428573,74.8868778280543,26000.0,3579016.0
27000.0,24.890625,1.9005354293363373E-5,27000.0,90.8,80.81254692583633,14.018691588785062,77.56097560975611,27000.0,4677776.0
28000.0,25.859375,2.014488864612455E-5,28000.0,86.9,72.89243885279146,-43.95604395604401,68.04878048780488,28000.0,4546928.0
29000.0,26.796875,2.130249156228577E-5,29000.0,85.8,68.49583124414843,-22.4137931034483,62.72965879265091,29000.0,4772992.0
30000.0,27.765625,2.285363013571542E-5,30000.0,89.1,76.82113572181962,-0.9259259259259269,72.47474747474747,30000.0,6189296.0
31000.0,28.828125,2.4688025684251138E-5,31000.0,87.0,71.56393957555899,12.751677852349003,65.69920844327176,31000.0,6673696.0
32000.0,29.90625,2.5850337794205793E-5,32000.0,86.9,73.03106162917092,9.027777777777784,68.73508353221958,32000.0,4167312.0
33000.0,30.96875,2.7250224019452513E-5,33000.0,88.6,76.90484390510727,2.5641025641025665,74.94505494505495,33000.0,5092912.0
34000.0,32.03125,2.8933630447782987E-5,34000.0,88.9,76.88559410270292,21.830985915492978,71.16883116883118,34000.0,6124384.0
35000.0,33.296875,2.9730230809137636E-5,35000.0,86.8,72.1848778452552,-8.196721311475418,68.64608076009502,35000.0,2432976.0
36000.0,34.328125,3.0564237353650644E-5,36000.0,88.9,74.853424918217,27.922077922077943,63.72549019607844,36000.0,3126136.0
37000.0,35.328125,3.12605355025476E-5,37000.0,88.7,74.71786932047003,30.246913580246936,67.80626780626781,37000.0,2691520.0
38000.0,36.1875,3.205076012010168E-5,38000.0,89.2,76.17524431404557,23.943661971831006,68.14159292035399,38000.0,3554432.0
39000.0,37.140625,3.3148200374044886E-5,39000.0,89.1,78.03411362610434,16.793893129771007,76.70940170940172,39000.0,4450752.0
40000.0,38.0625,3.422017351517246E-5,40000.0,92.30000000000001,84.38754572218754,47.260273972602775,83.1140350877193,40000.0,4494840.0
41000.0,39.0,3.5594101322607854E-5,41000.0,90.9,81.70015605141653,50.810810810810835,80.59701492537314,41000.0,5664936.0
42000.0,39.890625,3.7101193609285264E-5,42000.0,91.3,82.60709630470768,45.28301886792456,82.38866396761134,42000.0,6541048.0
43000.0,41.046875,3.9014107217856985E-5,43000.0,89.2,78.29974482107336,15.625000000000014,76.57266811279827,43000.0,6395080.0
44000.0,42.109375,3.954644589814253E-5,44000.0,88.2,73.25560838957966,35.51912568306013,67.8474114441417,44000.0,1936696.0
45000.0,43.015625,4.0319394999338927E-5,45000.0,91.2,82.03964340528363,32.82442748091606,79.24528301886792,45000.0,3296896.0
