learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
1000.0,0.9375,5.506832773486773E-8,1000.0,63.3,59.19252344762022,59.22222222222222,57.91284403669725,1000.0,227056.0
2000.0,1.65625,9.728737899826632E-8,2000.0,73.9,70.97119697655563,71.09634551495017,70.30716723549489,2000.0,227056.0
3000.0,2.421875,1.4226301573216915E-7,3000.0,72.8,69.73079324239959,70.01102535832415,69.02050113895216,3000.0,227072.0
4000.0,3.0625,1.7989569136665928E-7,4000.0,72.3,69.2123017416723,69.11928651059085,68.59410430839003,4000.0,227072.0
5000.0,4.015625,2.3588182456377482E-7,5000.0,72.89999999999999,69.86746130581749,70.18701870187019,69.27437641723357,5000.0,227056.0
6000.0,4.671875,2.7442965397818225E-7,6000.0,72.8,69.75099059945306,69.81132075471697,69.12599318955732,6000.0,227056.0
7000.0,5.4375,3.1964772561978966E-7,7000.0,73.9,70.95507718604776,71.69197396963123,70.40816326530613,7000.0,228296.0
8000.0,6.328125,3.71962636967914E-7,8000.0,74.1,71.20449699036962,71.66301969365426,70.73446327683615,8000.0,227056.0
9000.0,7.140625,4.199491619753341E-7,9000.0,73.9,70.97594228104629,71.06430155210643,70.90301003344482,9000.0,228296.0
10000.0,7.84375,4.612504077764849E-7,10000.0,74.8,71.95219407300888,71.81208053691275,71.65354330708661,10000.0,227056.0
11000.0,8.515625,5.00931572686467E-7,11000.0,75.2,72.42882077621763,72.56637168141593,72.10348706411699,11000.0,228296.0
12000.0,9.203125,5.4131501302537E-7,12000.0,75.1,72.30548495987632,72.60726072607261,71.83257918552036,12000.0,227056.0
13000.0,9.859375,5.798628424397773E-7,13000.0,72.3,69.21076178355277,69.08482142857143,68.8413948256468,13000.0,227056.0
14000.0,10.578125,6.22312460715572E-7,14000.0,71.5,68.31802037651532,68.29810901001112,67.65039727582293,14000.0,228296.0
15000.0,11.171875,6.571890682809882E-7,15000.0,71.39999999999999,68.19939645567818,68.1159420289855,67.72009029345372,15000.0,227056.0
16000.0,11.8125,6.948190922331478E-7,16000.0,74.5,71.64007135580478,71.72949002217295,70.85714285714285,16000.0,227056.0
17000.0,12.453125,7.326546215659214E-7,17000.0,73.5,70.5457374680449,71.03825136612022,70.02262443438913,17000.0,228296.0
18000.0,13.0625,7.684490345935854E-7,18000.0,73.4,70.41821526197673,70.37861915367483,69.94350282485875,18000.0,227056.0
19000.0,13.6875,8.051612530834972E-7,19000.0,76.6,73.98436171076169,73.91304347826087,73.67829021372329,19000.0,227056.0
20000.0,14.3125,8.420739646276665E-7,20000.0,73.6,70.669795221843,70.4035874439462,70.66666666666667,20000.0,228296.0
21000.0,14.921875,8.778683776553305E-7,21000.0,74.0,71.10253819744302,71.61572052401746,70.2176403207331,21000.0,227056.0
22000.0,15.515625,9.127449852207467E-7,22000.0,75.3,72.54365780727204,72.76736493936053,72.02718006795017,22000.0,227056.0
23000.0,16.109375,9.47621592786163E-7,23000.0,75.1,72.31773899296604,72.60726072607261,72.08520179372198,23000.0,227056.0
24000.0,16.734375,9.843338112760747E-7,24000.0,70.19999999999999,66.86587908269631,66.66666666666666,66.17480136208853,24000.0,227056.0
25000.0,17.375,1.0219638352282344E-6,25000.0,70.7,67.41935734960364,67.40823136818686,66.8176670441676,25000.0,227056.0
26000.0,17.984375,1.0577582482558984E-6,26000.0,73.8,70.87911721488767,70.56179775280899,70.36199095022624,26000.0,227056.0
27000.0,18.609375,1.0944704667458103E-6,27000.0,72.89999999999999,69.86015557053278,70.18701870187019,68.7066974595843,27000.0,227056.0
28000.0,19.1875,1.1284292688489787E-6,28000.0,76.1,73.40546868132296,73.26621923937361,73.11586051743532,28000.0,227056.0
29000.0,19.8125,1.1651414873388906E-6,29000.0,74.5,71.6583531169143,71.66666666666667,71.02272727272727,29000.0,227056.0
30000.0,20.453125,1.2027715112910503E-6,30000.0,74.5,71.65718757050969,71.8232044198895,71.28378378378379,30000.0,227056.0
31000.0,21.09375,1.24040153524321E-6,31000.0,73.7,70.73410656123527,70.81021087680355,70.07963594994312,31000.0,227056.0
32000.0,21.640625,1.2725247264218828E-6,32000.0,71.5,68.28364437618936,68.15642458100558,67.79661016949152,32000.0,227056.0
33000.0,22.25,1.3083191394495468E-6,33000.0,73.6,70.65016553751332,70.46979865771812,70.06802721088435,33000.0,227056.0
34000.0,22.84375,1.3431957470149629E-6,34000.0,74.2,71.32434829579935,71.04377104377105,70.58152793614595,34000.0,227056.0
35000.0,23.5,1.3817435764293703E-6,35000.0,73.1,70.09798745004751,69.63882618510158,69.6045197740113,35000.0,227056.0
36000.0,24.0625,1.4147845730702909E-6,36000.0,72.5,69.41953835735104,68.89140271493213,69.37639198218262,36000.0,227056.0
37000.0,24.71875,1.4535429201916687E-6,37000.0,72.89999999999999,69.8669252254977,69.30917327293318,68.77880184331798,37000.0,228296.0
38000.0,25.328125,1.4893373332193327E-6,38000.0,73.6,70.65819014381933,71.05263157894737,69.86301369863014,38000.0,227056.0
39000.0,25.953125,1.5260495517092446E-6,39000.0,75.6,72.87598991520412,72.49154453213077,72.33560090702949,39000.0,227056.0
40000.0,26.578125,1.562962263253414E-6,40000.0,75.1,72.3240465133856,72.51655629139073,71.9910011248594,40000.0,228296.0
41000.0,27.21875,1.6005922872055737E-6,41000.0,75.8,73.10187608856819,72.686230248307,72.74774774774775,41000.0,227056.0
42000.0,27.859375,1.6382223111577334E-6,42000.0,76.5,73.86621056716996,74.17582417582418,73.65470852017938,42000.0,227056.0
43000.0,28.453125,1.6730989187231495E-6,43000.0,76.7,74.08923090609849,74.28256070640177,73.87892376681614,43000.0,227056.0
44000.0,29.109375,1.7118572658445274E-6,44000.0,73.9,70.99087824282523,70.87053571428571,70.70707070707071,44000.0,228296.0
45000.0,29.765625,1.7504050952589348E-6,45000.0,72.7,69.66673407392427,69.59910913140311,69.11764705882352,45000.0,227056.0
46000.0,30.421875,1.7889529246733421E-6,46000.0,73.7,70.75925864158411,70.51569506726457,70.07963594994312,46000.0,227056.0
47000.0,31.0625,1.8265829486255018E-6,47000.0,75.1,72.31472267468688,72.57709251101322,72.02247191011236,47000.0,227056.0
48000.0,31.703125,1.8642129725776616E-6,48000.0,74.3,71.4304771221486,71.31696428571429,70.22016222479722,48000.0,227056.0
49000.0,32.34375,1.902048501910435E-6,49000.0,73.7,70.77332882894396,71.00330760749725,70.58165548098434,49000.0,228296.0
50000.0,32.953125,1.937842914938099E-6,50000.0,72.89999999999999,69.84744587839063,69.78818283166109,69.09920182440136,50000.0,227056.0
